"Var1"	"Var2"	"value"
"k__Bacteria.p__Deferribacteres"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Firmicutes"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Proteobacteria"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__TM7"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Verrucomicrobia"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Deferribacteres.c__Deferribacteres"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Firmicutes.c__Bacilli"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Firmicutes.c__Clostridia"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__TM7.c__TM7.3"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__TM7.c__TM7.3.o__CW040"	"scaffold_3397"	0.828571428571429
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales"	"scaffold_3397"	0.828571428571429
